The Use of Commodities by Industries, After Redefinitions (Producers' Prices);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(Millions of dollars);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bureau of Economic Analysis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Commodities/Industries;11;21;22;23;31G;42;44RT;48TW;51;FIRE;PROF;6;7;81;G;;;;F010;F020;F030;F040;F050;F100;;;;
IOCode;Name;Agriculture, forestry, fishing, and hunting;Mining;Utilities;Construction;Manufacturing;Wholesale trade;Retail trade;Transportation and warehousing;Information;Finance, insurance, real estate, rental, and leasing;Professional and business services;Educational services, health care, and social assistance;Arts, entertainment, recreation, accommodation, and food services;Other services, except government;Government;Sum of Intermediate Selected;Intermediate Not Selected;Total Intermediate;Personal consumption expenditures;Private fixed investment;Change in private inventories;Exports of goods and services;Imports of goods and services;Government consumption expenditures and gross investment;Sum of Final Uses (GDP) Selected;Sum of Final Uses (GDP) Not Selected;Total Final Uses (GDP);Total Commodity Output
11;Agriculture, forestry, fishing, and hunting;71799;100;0;1661;205181;19;902;58;1;5;1064;545;5665;65;970;288035;...;288034;58180;...;3153;37857;-37708;...;61482;0;61482;349516
21;Mining;2051;54691;74775;12993;422242;127;195;4520;260;4401;1338;626;1251;487;18453;598410;...;598411;114;103909;1888;15482;-284717;...;-163324;0;-163324;435086
22;Utilities;5152;4911;5231;3341;80260;6850;16093;6453;3761;80713;11544;19328;16586;4262;25649;290134;...;290135;240334;...;...;2670;-3284;...;239720;0;239720;529855
23;Construction;2292;7235;7355;187;13863;1503;2886;4298;2195;111472;2143;2047;2949;2995;56736;220156;...;220154;...;922372;...;94;...;285619;1208085;0;1208085;1428239
31G;Manufacturing;70048;36302;30538;370530;1868773;33045;31269;146535;69386;49890;122845;147786;122518;53877;309798;3463140;...;3463140;1621888;735734;22775;793003;-1589995;114193;1697599;0;1697599;5160739
42;Wholesale trade;21645;5650;5225;52133;258457;27151;14948;22061;12377;12492;17723;31215;17370;7937;36053;542437;...;542438;393725;135300;2640;125573;28773;15502;701513;0;701513;1243950
44RT;Retail trade;199;162;531;80258;11607;360;3290;4178;303;4305;1948;960;6452;5714;241;120508;...;120507;1039134;47145;...;...;...;...;1086279;0;1086279;1206786
48TW;Transportation and warehousing;10266;8996;23132;22199;123808;45916;53772;94439;16559;27640;35567;15990;11327;4423;48077;542111;...;542110;231192;30249;1097;91762;-9540;2373;347132;0;347132;889242
51;Information;418;874;2064;3840;22785;12164;13277;5360;164378;64992;56507;22716;9097;8112;72024;458608;...;458607;369482;125263;177;60761;-10503;6383;551563;0;551563;1010170
FIRE;Finance, insurance, real estate, rental, and leasing;15494;13742;19387;29287;83018;90081;133294;76832;62133;941312;256824;222553;86506;88406;85573;2204442;...;2204441;2326952;122248;...;130915;-46964;...;2533151;0;2533151;4737592
PROF;Professional and business services;4244;22510;28515;45815;309154;144144;121086;51047;122751;418889;461589;163403;107102;33599;247724;2281572;...;2281573;203648;476651;...;93577;-64777;164577;873676;0;873676;3155249
6;Educational services, health care, and social assistance;241;0;119;19;54;462;2195;58;176;60;480;20410;1300;1492;13809;40875;...;40873;1908502;...;...;2562;-2576;...;1908488;0;1908488;1949362
7;Arts, entertainment, recreation, accommodation, and food services;369;649;3648;2055;15497;5095;3657;3182;26257;45705;45809;19126;22341;2918;26289;222597;...;222596;789639;4030;...;4298;-270;...;797696;0;797696;1020293
81;Other services, except government;848;495;964;4447;16110;14765;10340;4840;7682;30287;28562;22039;10517;6381;22283;180560;...;180562;488994;...;...;226;-2667;...;486553;0;486553;667115
G;Government;61;6;774;33;5228;11505;6193;18940;3653;9213;8706;5524;6511;1801;7896;86044;...;86043;60530;...;...;335;-452;2209721;2270135;0;2270135;2356178
Used;Scrap, used and secondhand goods;-44;2;101;88;20115;0;6;305;2;-25;200;33;167;1372;-8;22314;...;22312;67057;-98406;2722;25032;-12054;3559;-12089;0;-12089;10223
Other;Noncomparable imports and rest-of-the-world adjustment [1];638;912;827;2320;14773;3192;1975;15465;12297;27552;7554;652;2389;310;20867;111723;...;111725;-48866;4799;...;126261;-192215;...;-110022;0;-110022;1703
;Sum of Intermediate Selected;205722;157237;203186;631205;3470925;396379;415378;458571;504170;1828903;1060403;694952;430046;224149;992434;...;...;...;...;...;...;...;...;...;...;...;...;...
;Intermediate Not Selected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;...;...;...;...;...;...;...;...;...;...;...;...;...
;Total Intermediate;205722;157237;203186;631205;3470925;396379;415378;458571;504170;1828903;1060403;694952;430046;224149;992434;...;...;11673662;...;...;...;...;...;...;...;...;...;...
V001;Compensation of employees;42407;57400;61218;485879;834884;401445;438866;257223;235795;719311;1367393;875541;348746;312268;1470390;...;...;7908768;...;...;...;...;...;...;...;...;...;...
V002;Taxes on production and imports, less subsidies;-2510;33540;54607;8401;57916;173199;178052;24619;42325;250069;50552;29641;73287;24953;-18673;...;...;979978;...;...;...;...;...;...;...;...;...;...
V003;Gross operating surplus;103785;210763;115497;302753;823314;272927;168938;128498;399661;1909233;444587;121083;140583;103506;343760;...;...;5588888;...;...;...;...;...;...;...;...;...;...
;Sum of Value Added Selected;143682;301703;231322;797033;1716114;847571;785857;410340;677781;2878614;1862533;1026265;562616;440727;1795477;...;...;...;...;...;...;...;...;...;...;...;...;...
;Sum of Value Added Not Selected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;...;...;...;...;...;...;...;...;...;...;...;...;...
;Total Value Added;143682;301703;231322;797033;1716114;847571;785857;410340;677781;2878614;1862533;1026265;562616;440727;1795477;14477635;...;...;...;...;...;...;...;...;...;...;14477634;...
;Total Industry Output;349404;458940;434508;1428239;5187039;1243950;1201235;868911;1181951;4707517;2922936;1721217;992662;664876;2787911;...;...;...;9750504;2609293;34452;1510408;-2228950;2801927;...;...;...;26151297
Legend / Footnotes:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1. Consists of noncomparable imports in the intermediate section of the use table and noncomparable imports and the rest-of-the-world adjustment in the final use section of the use table.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Note. Selected data with zero values are not shown.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Note. Detail may not add to total due to rounding.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
