The Use of Commodities by Industries, After Redefinitions (Producers' Prices);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(Millions of dollars);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bureau of Economic Analysis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Commodities/Industries;111CA;113FF;211;212;213;22;23;321;327;331;332;333;334;335;3361MV;3364OT;337;339;311FT;313TT;315AL;322;323;324;325;326;42;441;445;452;4A0;481;482;483;484;485;486;487OS;493;511;512;513;514;521CI;523;524;525; HS; ORE;532RL;5411;5415;5412OP;55;561;562;61;621;622;623;624;711AS;713;721;722;81; GFGD; GFGN;GFE;GSLG;GSLE;;;;F010;F02S;F02E;F02N;F02R;F030;F040;F050;F06C;F06S;F06E;F06N;F07C;F07S;F07E;F07N;F10C;F10S;F10E;F10N;;;;
IOCode;Name;Farms;Forestry, fishing, and related activities;Oil and gas extraction;Mining, except oil and gas;Support activities for mining;Utilities;Construction;Wood products;Nonmetallic mineral products;Primary metals;Fabricated metal products;Machinery;Computer and electronic products;Electrical equipment, appliances, and components;Motor vehicles, bodies and trailers, and parts;Other transportation equipment;Furniture and related products;Miscellaneous manufacturing;Food and beverage and tobacco products;Textile mills and textile product mills;Apparel and leather and allied products;Paper products;Printing and related support activities;Petroleum and coal products;Chemical products;Plastics and rubber products;Wholesale trade;Motor vehicle and parts dealers;Food and beverage stores;General merchandise stores;Other retail;Air transportation;Rail transportation;Water transportation;Truck transportation;Transit and ground passenger transportation;Pipeline transportation;Other transportation and support activities;Warehousing and storage;Publishing industries, except internet (includes software);Motion picture and sound recording industries;Broadcasting and telecommunications;Data processing, internet publishing, and other information services;Federal Reserve banks, credit intermediation, and related activities;Securities, commodity contracts, and investments;Insurance carriers and related activities;Funds, trusts, and other financial vehicles;Housing;Other real estate;Rental and leasing services and lessors of intangible assets;Legal services;Computer systems design and related services;Miscellaneous professional, scientific, and technical services;Management of companies and enterprises;Administrative and support services;Waste management and remediation services;Educational services;Ambulatory health care services;Hospitals;Nursing and residential care facilities;Social assistance;Performing arts, spectator sports, museums, and related activities;Amusements, gambling, and recreation industries;Accommodation;Food services and drinking places;Other services, except government;Federal general government (defense);Federal general government (nondefense);Federal government enterprises;State and local general government;State and local government enterprises;Sum of Intermediate Selected;Intermediate Not Selected;Total Intermediate;Personal consumption expenditures;Nonresidential private fixed investment in structures;Nonresidential private fixed investment in equipment;Nonresidential private fixed investment in intellectual property products;Residential private fixed investment;Change in private inventories;Exports of goods and services;Imports of goods and services;Federal national defense: Consumption expenditures;Federal national defense: Gross investment in structures;Federal national defense: Gross investment in equipment;Federal national defense: Gross investment in intellectual property products;Nondefense: Consumption expenditures;Federal national nondefense: Gross investment in structures;Federal national nondefense: Gross investment in equipment;Federal national nondefense: Gross investment in intellectual property products;State and local: Consumption expenditures;State and local: Gross investment in structures;State and local: Gross investment in equipment;State and local: Gross investment in intellectual property products;Sum of Final Uses (GDP) Selected;Sum of Final Uses (GDP) Not Selected;Total Final Uses (GDP);Total Commodity Output
 111CA;Farms;45231;637;...;28;11;0;1661;...;...;...;...;...;...;...;...;...;...;359;174007;2548;...;...;...;...;3933;...;19;181;293;1;206;...;...;0;...;...;...;57;...;1;...;...;...;0;...;...;...;3;1;...;1;1;359;17;601;...;120;2;49;49;...;...;182;35;736;15;3;-1570;2;1924;...;231703;...;231705;52756;...;...;...;...;3704;32913;-23020;...;...;...;...;...;...;...;...;...;...;...;...;66354;0;66354;298058
 113FF;Forestry, fishing, and related activities;19530;6401;...;60;...;...;...;12613;2;...;...;...;...;8;6;...;44;213;5052;...;61;3884;42;7;354;2048;...;...;220;...;...;...;...;0;...;...;...;1;...;...;...;...;...;...;...;...;...;...;...;...;...;...;77;7;1;...;68;...;140;117;...;...;133;198;4381;49;...;...;4;608;...;56329;...;56330;5424;...;...;...;...;-551;4944;-14688;...;...;...;...;...;...;...;...;...;...;...;...;-4872;0;-4872;51457
 211;Oil and gas extraction;...;...;38348;51;4;68262;...;16;6;43;7;9;...;1;6;3;3;2;15;5;...;16;3;376378;7403;15;107;20;34;38;102;...;...;...;0;15;4014;...;15;9;2;14;2;...;6;3;...;...;89;97;7;3;73;200;22;18;22;40;191;82;28;19;45;135;237;143;...;...;846;...;11949;509223;...;509219;...;...;...;...;...;2560;4938;-280903;...;...;...;...;...;...;...;...;...;...;...;...;-273406;0;-273406;235813
 212;Mining, except oil and gas;2049;3;62;8057;47;6514;12993;11;9307;19650;440;126;64;177;49;148;36;188;1399;100;2;1694;...;1132;3666;124;20;...;...;...;1;...;33;...;...;...;...;1;5;39;22;136;37;6;1;1;...;24;3885;289;1;0;705;55;178;47;178;...;46;31;9;137;435;58;186;345;...;549;...;1020;4090;80608;...;80603;114;...;157;...;...;-687;8643;-2584;...;...;...;...;...;...;...;...;...;...;...;...;5643;0;5643;86246
 213;Support activities for mining;...;...;5288;1356;1477;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;437;...;...;...;...;...;...;...;...;...;...;...;...;...;...;28;1;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;8587;...;8588;...;102226;1525;...;...;15;1902;-1230;...;...;...;...;...;...;...;...;...;...;...;...;104439;0;104439;113027
 22;Utilities;5091;61;2281;2359;271;5231;3341;1739;5750;8148;4483;2403;2570;1074;2790;1446;726;1028;10384;1435;207;7865;1548;3197;19540;3928;6850;1210;4458;2705;7720;185;37;968;721;697;267;1514;2065;601;240;2309;612;1472;1100;412;5;0;76697;1027;439;558;3362;5213;1529;441;7877;2298;5799;2418;935;696;2035;4535;9320;4262;2547;724;1855;19232;1291;290134;...;290135;240334;...;...;...;...;...;2670;-3284;...;...;...;...;...;...;...;...;...;...;...;...;239720;0;239720;529855
 23;Construction;2248;44;5154;1446;635;7355;187;273;521;782;819;592;754;208;519;303;148;224;1308;126;34;731;397;4143;1446;536;1503;292;568;218;1807;6;696;...;213;673;1048;1444;219;102;55;1932;106;5284;642;107;21;63168;42081;169;148;41;819;739;362;35;177;497;639;391;344;116;253;1185;1394;2995;3546;2281;2188;17974;30747;220158;...;220154;...;393707;...;...;528665;...;94;...;...;10014;...;...;...;11343;...;...;...;264262;...;...;1208085;0;1208085;1428239
 321;Wood products;454;322;...;49;55;3;43730;21377;447;359;228;874;750;271;2882;275;7941;1042;297;59;4;3878;8;1;332;1419;1523;80;384;107;662;0;1581;...;121;...;11;82;45;250;148;479;1188;80;2;18;...;258;2675;887;6;5;546;2;542;38;47;220;125;5;608;12;171;450;2752;176;36;31;3;3492;129;107034;...;107033;3610;452;...;...;5723;-1069;4604;-19681;...;...;...;...;...;...;50;...;...;...;...;...;-6311;0;-6311;100722
 327;Nonmetallic mineral products;20;9;249;225;258;216;68267;1260;16591;2492;1338;2130;995;1545;5532;382;329;701;4679;185;...;221;3;1001;1470;1592;182;186;72;8;471;1;6;...;36;2;3;42;27;15;3;839;888;54;28;15;...;59;40;207;7;48;3400;98;875;100;97;1980;776;165;210;21;182;78;4081;1001;50;258;...;870;1616;130787;...;130785;9225;...;...;...;...;-420;7393;-23107;...;...;...;...;...;...;...;...;...;...;...;...;-6909;0;-6909;123876
