Country;Bending;Reuse;Variance;Covariance;Year;Exports;Imports;Consumption;Max Flow
AUS;0.254980469;0.174424799;5.39E-05;-2.45E-04;1995;73925.30251;70489.1346;365670.6823;42787.91691
AUT;0.483984375;0.362292286;1.99E-04;1.90E-04;1995;70221.19148;75260.69701;229063.5025;42874.6241
BEL;0.451953125;0.470329242;1.29E-04;-2.13E-04;1995;177513.7334;155354.0442;250444.0181;99869.07416
BGR;0.467578125;0.489270012;1.36E-04;-1.78E-04;1995;5721.267127;5490.238236;12927.70291;3984.727339
BRA;0.498144531;0.197734376;1.98E-04;0.003452223;1995;55919.07667;63624.57394;732545.7495;37090.1758
CAN;0.430859375;0.323951513;2.42E-04;0.001514322;1995;212586.2474;183666.0116;540625.8928;104314.257
CHN;0.301855469;0.256408915;1.02E-04;-0.004964696;1995;167973.8258;142146.1832;708549.5239;97007.64844
CYP;0.597265625;0.444161764;3.31E-04;-2.38E-04;1995;2020.35783;3903.819594;10594.49838;1558.13813
CZE;0.334765625;0.428351146;8.41E-05;-0.003046499;1995;25501.35644;27596.01642;55608.07591;17929.37673
DEU;0.487890625;0.284093981;1.49E-04;-4.43E-04;1995;577907.2126;504027.5451;2316427.374;278642.0625
DNK;0.468359375;0.334719765;1.63E-04;8.50E-04;1995;63435.72017;53811.49765;157507.8665;30717.58627
ESP;0.467578125;0.335917306;3.06E-04;-4.82E-04;1995;109520.28;124770.1182;588779.2591;76829.49488
EST;0.403515625;0.510763354;7.85E-05;-0.001100307;1995;2167.330895;2546.418042;3993.295807;1551.362342
FIN;0.372265625;0.306219086;1.06E-04;-2.21E-04;1995;46602.19276;35247.6711;110996.6247;23659.64646
FRA;0.540917969;0.339814036;5.65E-04;-0.001941691;1995;334641.9536;302123.14;1435498.913;177218.3101
GBR;0.397265625;0.284851422;8.08E-05;-5.62E-04;1995;302968.852;286045.4014;1087567.19;160954.0255
GRC;0.547949219;0.340562718;5.88E-04;-6.56E-05;1995;9809.700848;27379.00219;142931.265;9243.966805
HUN;0.443359375;0.468771288;9.78E-05;0.001204435;1995;16317.30961;18351.74507;44123.30835;12893.69117
IDN;0.304296875;0.227984285;1.20E-04;1.06E-04;1995;54138.45938;52847.54595;242448.2825;34829.20276
