Variable		TTL: Total																																								
Country		BEL: Belgium																																								
Time		2003																																								
Unit		US Dollar, millions																																								
Column sector (to:)		C01T05: Agriculture, hunting, forestry and fishing	C10T14: Mining and quarrying	C15T16: Food products, beverages and tobacco	C17T19: Textiles, textile products, leather and footwear	C20: Wood and products of wood and cork	C21T22: Pulp, paper, paper products, printing and publishing	C23: Coke, refined petroleum products and nuclear fuel	C24: Chemicals and chemical products	C25: Rubber and plastics products	C26: Other non-metallic mineral products	C27: Basic metals	C28: Fabricated metal products	C29: Machinery and equipment, nec	C30T33X: Computer, Electronic and optical equipment	C31: Electrical machinery and apparatus, nec	C34: Motor vehicles, trailers and semi-trailers	C35: Other transport equipment	"C36T37: Manufacturing nec; recycling"	C40T41: Electricity, gas and water supply	C45: Construction	"C50T52: Wholesale and retail trade; repairs"	C55: Hotels and restaurants	C60T63: Transport and storage	C64: Post and telecommunications	C65T67: Financial intermediation	C70: Real estate activities	C71: Renting of machinery and equipment	C72: Computer and related activities	C73T74: R&D and other business activities	"C75: Public administration and defence; compulsory social security"	C80: Education	C85: Health and social work	C90T93: Other community, social and personal services	C95: Private households with employed persons	CONS: Consumption expenditure	GFCF: Gross Fixed Capital Formation	INVNT: Changes in inventories	CONS_ABR: Direct purchases abroad by residents (imports)	CONS_NONRES: Direct purchases by non-residents (exports)	EXPO: Exports (cross border)	IMPO: Imports (cross border)
Row sector (from:)																																										
TTL_C01T05: Agriculture, hunting, forestry and fishing		334.7	0.3	5331.2	68.1	175.5	72.1	6.3	39	6.9	1.3	0.8	10.8	1.4	0.3	0.7	3.2	0.2	4.1	0.4	3.8	213.6	111.9	9.8	0.4	0.6	0.4	0.3	0.4	3.5	19	1.8	108.9	19.2	0	2387.4	89.2	44.3	22.7	2.7	2752.1	3945.6
TTL_C10T14: Mining and quarrying		1	29.1	8.5	2.6	0.7	34.6	4478.8	122.3	3.2	519.9	428.6	2.7	1.8	2	22.3	5.5	0.2	64.8	168.9	488.3	181.3	25.8	16.9	1	1.2	21.5	0.8	0.7	5.8	21.7	0.7	15.9	6.8	0	86.9	3	27.4	1.5	0	12149.6	18139.8
TTL_C15T16: Food products, beverages and tobacco		1383.4	2.7	5588.7	36.9	10.1	83.5	118.9	296	21.7	17.1	24.9	18.2	18.5	10.9	9.2	44.3	3.2	17.4	6.6	65.3	599.9	2354.3	43	6.2	7.5	4.4	8.3	6.2	75	99.1	22.8	539	173.4	0	15172.3	83.6	80	450.3	260.3	11210.6	9001.3
TTL_C17T19: Textiles, textile products, leather and footwear		15.2	0.6	78.9	1876.8	6.4	101.7	18.8	104.7	59.5	14.7	15.5	21.2	20.1	8.1	12.5	289.6	3.8	223.1	3.4	251.4	358.4	31.6	59.1	17.8	4.6	4.1	8.9	3.1	119	59.3	8.5	78.4	123.4	0	5627.5	72.7	43.4	276.4	197.6	7666.1	8822.4
TTL_C20: Wood and products of wood and cork		1.4	1.7	33.4	26.3	713	9.2	6.6	33.5	8.4	30.8	11	17.8	23.1	3.4	12.9	57.3	46	177.9	1	1131.5	88.8	8.2	92	1	1.6	5.8	1.7	0.9	31.2	9.6	5.1	2.2	91.8	0	282	30.8	17.6	2	4	1360.3	1069.8
TTL_C21T22: Pulp, paper, paper products, printing and publishing		4.1	3.1	744.3	66.1	51.8	2424.4	17.3	419.9	157.8	63.5	44.5	38.7	55.6	26.7	127.7	41.9	4.5	73.9	26.3	141.4	1558.2	102	149.2	98	209.8	41	11.1	44.7	1953.9	334.3	156.5	162	219.3	0	1961.9	60.9	100.7	5.1	8.5	3804.4	4093.6
TTL_C23: Coke, refined petroleum products and nuclear fuel		171.5	8.6	94.1	55.7	30.5	51.1	1471.5	1375.1	80.1	87	157.2	35.4	22	13.7	19.4	24.9	2	19.8	334.8	373.1	546.2	18	1422.9	124.6	20.7	17.5	123.2	55.7	231.3	186.8	87.7	203.1	102.8	0	3031.8	23.6	83.3	35.1	40	8628.8	5680.3
TTL_C24: Chemicals and chemical products		383.4	11.6	516.2	753.6	186.3	561.3	1786.1	9631.8	1239.6	298	232.9	274.4	129.8	167.4	166.7	297.8	13.1	188.5	31.8	416.1	1655.1	87.9	165.8	50.1	33.6	26.8	16.9	97.3	397.2	115.7	52	2009.6	364.4	0	4098.1	240.4	154.1	109.3	77	33834.4	26328.6
TTL_C25: Rubber and plastics products		8.4	3.8	339.8	118.8	45.9	191.2	28.5	275.5	247.2	53.7	45.1	159.1	186.3	169.7	179	811.5	13.8	215	5.2	483.7	302.8	12.6	310.3	5.1	7	3.1	8.8	4.6	136	27.1	9.5	44.6	37.9	0	485.5	113.5	27.9	3	6.8	4239.3	3800.7
TTL_C26: Other non-metallic mineral products		4.7	5.6	147.7	27.9	27.9	12.6	81.5	169.7	25.2	894.2	171.8	38.1	39.5	118.7	63.8	152.5	2.6	18.6	5.9	3108.3	767.4	10.7	33.5	2.7	2.9	53.6	2.7	2.1	23.1	16.2	13.9	13.5	8.2	0	659.9	63.9	78.5	1.2	7.9	2481.9	1690
TTL_C27: Basic metals		7.3	1.9	45.5	19.1	9.5	14.5	65.5	219.4	64.7	118.6	6133.2	2009.6	369.2	44.9	298.8	607.4	142.1	844.6	19.1	1263.5	533.7	4.5	80.1	6.4	10.5	4.7	2.7	5	153	42.9	24.1	21	9.4	0	211.3	213.4	90.4	1.2	9.9	8549.1	6193.3
