year	country	leontiefreuse	domesticpref	reuse	exports	imports	consumption	maxflow	importshare
1995	AUS	.12175452	.25498047	.1744248	73925.305	70489.133	365670.69	42787.918	.1603498
1995	AUT	.23849145	.48398438	.36229229	70221.195	75260.695	229063.5	42874.625	.25146857
1995	BEL	.38676122	.45195311	.47032925	177513.73	155354.05	250444.02	99869.07	.36301258
1995	BGR	.32163075	.46757811	.48927	5721.2671	5490.2383	12927.703	3984.7273	.29439899
1995	BRA	.078565136	.49814454	.19773437	55919.078	63624.574	732545.75	37090.176	.080694243
1995	CAN	.25057265	.43085939	.32395151	212586.25	183666.02	540625.88	104314.26	.24384367
1995	CHN	.15615195	.30185547	.25640893	167973.83	142146.19	708549.5	97007.648	.16217045
1995	CYP	.27110147	.5972656	.44416177	2020.3578	3903.8196	10594.498	1558.1382	.30946207
1995	CZE	.29783598	.33476561	.42835113	25501.355	27596.016	55608.074	17929.377	.3402319
1995	DEU	.17094257	.48789063	.28409398	577907.19	504027.53	2316427.3	278642.06	.17414281
1995	DNK	.26277599	.46835938	.33471978	63435.719	53811.496	157507.86	30717.586	.24355312
1995	ESP	.20514467	.46757811	.33591729	109520.28	124770.12	588779.25	76829.492	.17867707
1995	EST	.37583277	.40351564	.51076335	2167.3308	2546.418	3993.2959	1551.3623	.4133375
1995	FIN	.23380594	.37226564	.30621907	46602.191	35247.672	110996.63	23659.646	.22365442
1995	FRA	.19471495	.54091799	.33981404	334641.97	302123.13	1435498.9	177218.31	.17067745
1995	GBR	.19266309	.39726561	.28485143	302968.84	286045.41	1087567.3	160954.03	.20570873
1995	GRC	.18878776	.54794919	.34056273	9809.7012	27379.002	142931.27	9243.9668	.17925121
1995	HUN	.28763008	.44335938	.46877128	16317.31	18351.744	44123.309	12893.691	.30363265
1995	IDN	.15400495	.30429688	.22798428	54138.461	52847.547	242448.28	34829.203	.17818581
1995	IND	.10437132	.39960939	.21279237	42190.449	43742.137	372604.41	31182.736	.10545487
1995	IRL	.38514051	.30742186	.44136515	47267.145	37802.953	53031.93	25531.113	.37690231
1995	ITA	.18657921	.49023438	.35070437	264094.06	228255.45	1038030.1	145282.56	.1752947
