Year;Country;Bending;Reuse;Variance;Covariance;Exports;Imports;Consumption;Max Flow Reuse;Min Flow Reuse;Leontief Reuse
2011;AUS;0.419140625;0.16265971;3.04E-06;-8.94E-04;326818.2303;304332.9675;1417152.109;0.524096204;0;0.13742872
2011;AUT;0.725097656;0.440867262;1.74E-06;1.74E-04;212266.7921;200016.4755;388543.0043;0.58561418;0.144304452;0.342098711
2011;BEL;0.763671875;0.541472401;3.10E-06;5.69E-04;371397.6322;349087.3259;474726.7746;0.654746416;0.296896614;0.459507855
2011;BGR;0.687109375;0.443134322;3.68E-06;6.63E-04;23898.36288;27470.14003;50675.84211;0.734292241;0.003054625;0.346733009
2011;BRA;0.552734375;0.178001325;6.48E-07;5.27E-04;294453.4472;299324.0937;2256495.43;0.636741103;1.98E-16;0.11892759
2011;CAN;0.562109375;0.25784649;6.25E-06;6.38E-04;518169.6417;514288.1929;1661648.036;0.535846015;2.82E-05;0.202291801
2011;CHN;0.675390625;0.259383755;5.40E-06;-0.004085817;2086189.164;1791452.591;7092210.467;0.687841716;0;0.215625662
2011;CYP;0.468457031;0.322619055;9.31E-06;0.00124611;4868.039618;9139.973984;27417.92984;0.811930061;0.06986272;0.260170007
2011;CZE;0.782421875;0.545172656;4.20E-06;2.95E-04;164829.4512;150593.0456;190373.2134;0.672459751;0.303555443;0.464547507
2011;DEU;0.692578125;0.339611891;2.16E-06;-2.21E-04;1602979.131;1304427.803;3191065.837;0.493943128;0.055322552;0.272405913
2011;DNK;0.704003906;0.429239543;7.72E-06;1.08E-04;159117.5198;136733.3268;284718.735;0.569939769;0.219866632;0.371451283
2011;ESP;0.750390625;0.401286422;4.07E-06;-1.84E-04;386533.8063;428282.5129;1489128.683;0.717805073;0.059844877;0.296912938
2011;EST;0.636328125;0.387885747;3.72E-06;-2.08E-04;11484.27458;10239.27787;19463.91954;0.564733164;0.118526351;0.327333053
2011;FIN;0.670703125;0.413612144;1.85E-05;-1.39E-04;104298.3073;102165.9118;243651.0059;0.68346646;0.071416041;0.344483824
2011;FRA;0.761328125;0.385191052;4.32E-06;-0.001119719;691459.8873;747139.6169;2732499.284;0.660706623;0.026564716;0.285164163
2011;GBR;0.574609375;0.264363611;1.58E-05;0.001411414;701475.354;715533.8121;2349654.854;0.539193626;0.051910958;0.215900123
2011;GRC;0.449609375;0.299665159;1.48E-05;9.92E-06;42560.67722;83517.59708;325848.2433;0.697436081;0.100825708;0.242687798
