year,country,pref,reuse,variance,covariance,exports,imports,consumption,maxflowreuse,leontiefreuse,impshare,logsize
1995,AUS,.23486328,.16647494,4.5583715e-06,-.0004650621,73925.305,70489.133,365670.69,.59376597,.12204743,.1603498,12.993611
1995,AUT,.48486328,.3617534,.000010128108,-.0029276724,70221.195,75260.695,229063.5,.63216901,.23854312,.25146857,12.609151
1995,BEL,.4144043,.46459037,.000017649991,.0001219336,177513.73,155354.05,250444.02,.57958615,.38694286,.36301258,12.96678
1995,BGR,.48388672,.49897471,.000044000419,.0010290951,5721.2671,5490.2383,12927.703,.70880026,.32184473,.29439899,9.8335466
1995,BRA,.49951172,.19673125,7.4996005e-06,.0017744066,55919.078,63624.574,732545.75,.69315976,.078678109,.080694243,13.577843
1995,CAN,.4284668,.32000762,.00001412105,.0010626186,212586.25,183666.02,540625.88,.5041756,.25061095,.24384367,13.532103
1995,CHN,.28564453,.25137472,3.1257712e-06,.0019462429,167973.83,142146.19,708549.5,.5900864,.15726937,.16217045,13.683719
1995,CYP,.59736329,.43207338,.00002429989,.00034831479,2020.3578,3903.8196,10594.498,.99012798,.27110696,.30946207,9.4426308
1995,CZE,.33940428,.43115988,3.1430832e-06,-.00091599114,25501.355,27596.016,55608.074,.7058444,.29851067,.3402319,11.303555
1995,DEU,.47509766,.28241935,.000012357697,-.0016490953,577907.19,504027.53,2316427.3,.49182612,.17095619,.17414281,14.878265
1995,DNK,.4284668,.32425433,.000023882549,.00036439425,63435.719,53811.496,157507.86,.49320245,.26286271,.24355312,12.305663
1995,ESP,.47607422,.33528137,.000051185663,.0053096297,109520.28,124770.12,588779.25,.70611602,.2054619,.17867707,13.456404
1995,EST,.40913087,.50794959,7.0919182e-06,.00059727649,2167.3308,2546.418,3993.2959,.73369777,.37605262,.4133375,8.725934
1995,FIN,.35976562,.31060353,.0000245011,-.00089706853,46602.191,35247.672,110996.63,.50891042,.23397708,.22365442,11.967808
1995,FRA,.52019042,.3314158,.00012794674,-.00052005553,334641.97,302123.13,1435498.9,.54380029,.1948674,.17067745,14.38657
