Level	Country	Bending	Reuse	Variance of Reuse
1	AUS	0	0.103996501	4.29E-08
2	AUS	0	0.105607928	2.50E-05
3	AUS	0	0.106784194	2.07E-05
4	AUS	0	0.107925071	3.09E-05
5	AUS	0	0.109605671	3.84E-05
6	AUS	0	0.111114719	3.53E-05
7	AUS	0	0.111793726	3.59E-05
8	AUS	0	0.113396738	4.26E-05
9	AUS	0	0.115897634	4.72E-05
10	AUS	0	0.115477795	5.76E-05
11	AUS	0	0.117061498	6.22E-05
12	AUS	0	0.119749945	4.02E-05
13	AUS	0	0.119669576	2.88E-05
14	AUS	0	0.119950918	2.43E-05
15	AUS	0	0.120450882	2.12E-05
16	AUS	0	0.121799629	3.49E-05
17	AUS	0	0.121481183	2.88E-05
18	AUS	0	0.121650056	3.92E-05
19	AUS	0	0.122875761	5.11E-05
20	AUS	0	0.124142965	3.97E-05
21	AUS	0	0.125188548	4.93E-05
22	AUS	0	0.125517661	4.55E-05
23	AUS	0	0.126917169	4.95E-05
24	AUS	0	0.128251303	3.45E-05
25	AUS	0	0.128279892	3.44E-05
26	AUS	0	0.129892448	2.07E-05
27	AUS	0	0.130704603	1.19E-05
28	AUS	0	0.131484288	1.22E-05
29	AUS	0	0.131780397	1.48E-05
30	AUS	0	0.131974924	1.49E-05
31	AUS	0	0.133896534	4.37E-06
32	AUS	0	0.133980567	3.28E-06
33	AUS	0	0.13406165	3.89E-06
34	AUS	0	0.135435486	3.55E-11
35	AUS	0	0.134092485	6.41E-33
1	AUS	0.1	0.111845653	4.42E-10
2	AUS	0.1	0.113318424	2.45E-05
3	AUS	0.1	0.114370117	1.98E-05
4	AUS	0.1	0.11529382	2.86E-05
5	AUS	0.1	0.116947271	3.73E-05
6	AUS	0.1	0.118124726	3.37E-05
7	AUS	0.1	0.118749754	3.43E-05
8	AUS	0.1	0.120322108	4.06E-05
9	AUS	0.1	0.122544381	4.26E-05
10	AUS	0.1	0.12204724	5.25E-05
11	AUS	0.1	0.123585583	5.61E-05
12	AUS	0.1	0.126233173	3.90E-05
13	AUS	0.1	0.126047184	2.85E-05
14	AUS	0.1	0.126128317	2.78E-05
15	AUS	0.1	0.126576822	2.57E-05
16	AUS	0.1	0.127680294	3.83E-05
17	AUS	0.1	0.127310898	2.82E-05
18	AUS	0.1	0.127045454	3.85E-05
19	AUS	0.1	0.128230184	4.85E-05
20	AUS	0.1	0.12948334	3.89E-05
21	AUS	0.1	0.130624662	4.88E-05
22	AUS	0.1	0.130858247	4.57E-05
23	AUS	0.1	0.132015547	5.13E-05
24	AUS	0.1	0.133312	3.40E-05
25	AUS	0.1	0.133187156	3.30E-05
26	AUS	0.1	0.134768478	1.86E-05
27	AUS	0.1	0.135450519	1.06E-05
28	AUS	0.1	0.136343343	9.45E-06
29	AUS	0.1	0.136566166	1.25E-05
30	AUS	0.1	0.136678899	1.29E-05
31	AUS	0.1	0.138597148	4.36E-06
32	AUS	0.1	0.13866068	2.93E-06
33	AUS	0.1	0.13873167	3.61E-06
34	AUS	0.1	0.140079674	4.09E-11
35	AUS	0.1	0.139952914	6.64E-33
1	AUS	0.2	0.122212983	6.18E-12
2	AUS	0.2	0.123427612	2.39E-05
3	AUS	0.2	0.124403535	1.94E-05
4	AUS	0.2	0.12508363	2.73E-05
5	AUS	0.2	0.126635033	3.68E-05
6	AUS	0.2	0.127453845	3.28E-05
7	AUS	0.2	0.128090696	3.39E-05
8	AUS	0.2	0.12966255	3.94E-05
9	AUS	0.2	0.131670551	3.94E-05
10	AUS	0.2	0.130977703	5.02E-05
11	AUS	0.2	0.132508668	5.25E-05
12	AUS	0.2	0.135092844	3.99E-05
13	AUS	0.2	0.134866359	3.02E-05
14	AUS	0.2	0.134754698	3.31E-05
15	AUS	0.2	0.135132596	3.38E-05
16	AUS	0.2	0.136008711	4.46E-05
17	AUS	0.2	0.135440874	2.92E-05
18	AUS	0.2	0.134764371	3.81E-05
19	AUS	0.2	0.135897256	4.69E-05
20	AUS	0.2	0.137174238	3.85E-05
21	AUS	0.2	0.138353003	4.85E-05
22	AUS	0.2	0.138562831	4.58E-05
23	AUS	0.2	0.139438584	5.19E-05
24	AUS	0.2	0.140736783	3.34E-05
25	AUS	0.2	0.140539534	3.16E-05
26	AUS	0.2	0.14199471	1.61E-05
27	AUS	0.2	0.142520106	9.27E-06
28	AUS	0.2	0.143435738	7.65E-06
29	AUS	0.2	0.143609816	1.02E-05
30	AUS	0.2	0.143650491	1.10E-05
31	AUS	0.2	0.145509735	4.44E-06
32	AUS	0.2	0.145536389	2.50E-06
33	AUS	0.2	0.145584854	3.23E-06
34	AUS	0.2	0.146877076	4.95E-11
35	AUS	0.2	0.146863842	4.70E-33
1	AUS	0.3	0.13572373	3.30E-14
2	AUS	0.3	0.136568474	2.33E-05
3	AUS	0.3	0.137434337	1.95E-05
4	AUS	0.3	0.137787044	2.65E-05
5	AUS	0.3	0.13917551	3.65E-05
6	AUS	0.3	0.139526714	3.25E-05
7	AUS	0.3	0.140172256	3.44E-05
8	AUS	0.3	0.141736718	3.84E-05
9	AUS	0.3	0.143351228	3.61E-05
10	AUS	0.3	0.142397301	5.05E-05
11	AUS	0.3	0.143829018	5.18E-05
12	AUS	0.3	0.1463191	4.69E-05
13	AUS	0.3	0.146036732	3.75E-05
14	AUS	0.3	0.145816953	4.29E-05
15	AUS	0.3	0.146036857	4.85E-05
16	AUS	0.3	0.146466061	5.52E-05
17	AUS	0.3	0.145618039	3.45E-05
18	AUS	0.3	0.14443961	3.81E-05
19	AUS	0.3	0.145333269	4.43E-05
20	AUS	0.3	0.146776687	3.81E-05
21	AUS	0.3	0.147986861	4.77E-05
22	AUS	0.3	0.148173985	4.56E-05
23	AUS	0.3	0.148717069	5.14E-05
24	AUS	0.3	0.149938631	3.15E-05
25	AUS	0.3	0.149588057	2.95E-05
26	AUS	0.3	0.150889939	1.34E-05
27	AUS	0.3	0.151147983	8.35E-06
28	AUS	0.3	0.152012775	6.48E-06
29	AUS	0.3	0.152056492	8.26E-06
30	AUS	0.3	0.152008972	9.29E-06
31	AUS	0.3	0.153732179	4.75E-06
32	AUS	0.3	0.153704231	2.10E-06
33	AUS	0.3	0.153719191	2.91E-06
34	AUS	0.3	0.154939815	6.30E-11
35	AUS	0.3	0.154939011	1.22E-32
1	AUS	0.4	0.151546958	3.06E-16
2	AUS	0.4	0.151933863	2.26E-05
3	AUS	0.4	0.152673291	2.01E-05
4	AUS	0.4	0.152625013	2.60E-05
5	AUS	0.4	0.153779919	3.55E-05
6	AUS	0.4	0.153564436	3.30E-05
7	AUS	0.4	0.154225746	3.60E-05
8	AUS	0.4	0.155764821	3.79E-05
9	AUS	0.4	0.156960241	3.39E-05
10	AUS	0.4	0.155700315	5.27E-05
11	AUS	0.4	0.157170275	5.25E-05
12	AUS	0.4	0.159521502	5.51E-05
13	AUS	0.4	0.159175671	4.80E-05
14	AUS	0.4	0.158735572	5.65E-05
15	AUS	0.4	0.158925649	6.57E-05
16	AUS	0.4	0.159154224	7.22E-05
17	AUS	0.4	0.157949765	4.11E-05
18	AUS	0.4	0.156154666	3.87E-05
19	AUS	0.4	0.157028091	4.35E-05
20	AUS	0.4	0.158336984	3.83E-05
21	AUS	0.4	0.159573061	4.80E-05
22	AUS	0.4	0.159729342	4.64E-05
23	AUS	0.4	0.159870155	5.30E-05
24	AUS	0.4	0.16114179	3.29E-05
25	AUS	0.4	0.160764032	2.95E-05
26	AUS	0.4	0.161887617	1.22E-05
27	AUS	0.4	0.161928741	8.52E-06
28	AUS	0.4	0.162845717	6.62E-06
29	AUS	0.4	0.162854698	7.52E-06
30	AUS	0.4	0.162678298	8.50E-06
31	AUS	0.4	0.164364482	5.44E-06
32	AUS	0.4	0.164257611	1.73E-06
33	AUS	0.4	0.164216184	2.69E-06
34	AUS	0.4	0.165338516	9.00E-11
35	AUS	0.4	0.165340573	7.58E-33
1	AUS	0.5	0.171365864	5.63E-18
2	AUS	0.5	0.171164822	2.20E-05
3	AUS	0.5	0.17174212	2.17E-05
4	AUS	0.5	0.171179837	2.68E-05
5	AUS	0.5	0.172093483	3.62E-05
6	AUS	0.5	0.171156211	3.83E-05
7	AUS	0.5	0.171907648	4.16E-05
8	AUS	0.5	0.17322579	3.92E-05
9	AUS	0.5	0.174065831	3.54E-05
10	AUS	0.5	0.172514588	6.08E-05
11	AUS	0.5	0.173915751	5.93E-05
12	AUS	0.5	0.176051314	6.97E-05
13	AUS	0.5	0.175604475	6.53E-05
14	AUS	0.5	0.174802503	7.66E-05
15	AUS	0.5	0.174821683	9.25E-05
