Sectors	AUS Max	AUS Min	AUS Exports	AUT Max	AUT Min	AUT Exports	BEL Max	BEL Min	BEL Exports	BGR Max	BGR Min	BGR Exports	BRA Max	BRA Min	BRA Exports	CAN Max	CAN Min	CAN Exports	CHN Max	CHN Min	CHN Exports	CYP Max	CYP Min	CYP Exports	CZE Max	CZE Min	CZE Exports	DEU Max	DEU Min	DEU Exports	DNK Max	DNK Min	DNK Exports	ESP Max	ESP Min	ESP Exports	EST Max	EST Min	EST Exports	FIN Max	FIN Min	FIN Exports	FRA Max	FRA Min	FRA Exports	GBR Max	GBR Min	GBR Exports	GRC Max	GRC Min	GRC Exports	HUN Max	HUN Min	HUN Exports	IDN Max	IDN Min	IDN Exports	IND Max	IND Min	IND Exports	IRL Max	IRL Min	IRL Exports	ITA Max	ITA Min	ITA Exports	JPN Max	JPN Min	JPN Exports	KOR Max	KOR Min	KOR Exports	LTU Max	LTU Min	LTU Exports	LUX Max	LUX Min	LUX Exports	LVA Max	LVA Min	LVA Exports	MEX Max	MEX Min	MEX Exports	MLT Max	MLT Min	MLT Exports	NLD Max	NLD Min	NLD Exports	POL Max	POL Min	POL Exports	PRT Max	PRT Min	PRT Exports	ROU Max	ROU Min	ROU Exports	RUS Max	RUS Min	RUS Exports	RoW Max	RoW Min	RoW Exports	SVK Max	SVK Min	SVK Exports	SVN Max	SVN Min	SVN Exports	SWE Max	SWE Min	SWE Exports	TUR Max	TUR Min	TUR Exports	TWN Max	TWN Min	TWN Exports	USA Max	USA Min	USA Exports
35	171284.1937470001	0.0	326818.23025799997	124306.44343200007	30631.043088000064	212266.79213900006	243171.26874000006	110266.699422	371397.632186	17548.382435999996	73.00052499999583	23898.362875000006	187490.61281800014	0.0	294453.447153	277659.13766	14.589855999860447	518169.64165	1434967.9350830002	2.3283064365386963E-10	2086189.1641130003	3952.507701999997	340.0944879999988	4868.039617999995	110841.17170399998	50034.87708899999	164829.45118299994	791780.526604	88680.89592500008	1602979.1313000002	90687.40249799992	34984.63324199994	159117.51981000009	277455.92713399994	23132.06825299986	386533.8063129999	6485.550726000001	1361.1891569999989	11484.274585	71284.39490099998	7448.57220400004	104298.30734999999	456852.12675899995	18368.435717999935	691459.8872880002	378231.03959800006	36414.25791100005	701475.354034	29683.351945000006	4291.210420999996	42560.67722000004	76831.327748	30848.197182999982	114320.01827500004	127604.20940100007	2025.0615339999786	218789.19022400002	267603.0425710002	16807.232223000086	338087.950164	125134.40153200005	69734.21321700008	217243.02280700003	396762.6500710001	12423.369319000049	596636.6741679999	589567.838599	0.0	895486.5191160002	426459.4219860001	71414.40968000016	612792.9435330004	12182.674578999995	2983.8599039999863	20509.330217000002	60747.99175400001	48465.10538400001	90521.89744299998	6326.142036999996	493.6790159999982	10529.416661999994	202667.19231200014	50885.622076000145	343625.1902160003	3611.7331729999987	1163.1511389999996	5513.3155609999985	321358.387872	135786.05002599995	537108.2064489998	153105.70245499996	16790.881476000068	226830.70523099997	43422.513716000016	578.300482000006	57468.404321999995	38061.825906000005	885.5925489999936	54125.958309	135462.2707450001	0.0	485518.2353309999	2101143.062648	56335.34530200064	3197176.0527500007	40367.28594600002	16710.712022000007	62821.763021000006	15291.548568999995	5393.411499999991	25313.641226000007	140179.70257300008	20340.185653000022	249485.00373899995	106814.499324	2841.3494229999487	157020.39594600012	218443.53692500017	117651.00264300016	338208.677866	1422981.38274	0.0	1841074.8699909986
34	171284.19374700013	0.0	326818.2302579999	124306.44343200006	30494.268128000112	212266.79213900003	243623.12866000005	105618.20660100001	371397.63218599994	17548.382435999996	73.00052499999947	23898.362875000006	187490.61281800014	0.0	294453.447153	277659.13765999995	14.58985600003507	518169.64165000006	1434967.9350830002	0.0	2086189.1641129998	3952.507701999998	340.0944879999988	4868.039617999996	110841.171704	50024.00580099995	164829.4511829999	791780.526604	88680.89592500008	1602979.1313	90687.40249799992	34657.76149799995	159117.51981000009	277455.927134	23132.068252999976	386533.8063129999	6485.550726000001	1361.189156999997	11484.274585	71284.39490099999	7448.5722040000255	104298.30735	456852.1267589998	18368.43571800005	691459.8872880002	378231.03959799994	27249.401494999882	701475.3540340002	29683.351945000006	4291.210421000011	42560.67722000001	76831.327748	30848.197182999982	114320.01827500004	127604.20940100007	2025.0615339999786	218789.19022400002	269358.4327540001	16807.232223000086	338087.9501639999	125134.40153200009	69314.02617200007	217243.022807	396762.65007100004	12423.369319000049	596636.6741679999	589567.838599	0.0	895486.5191160002	426459.4219860002	71414.40968000027	612792.9435330002	12182.674578999997	2426.1392769999984	20509.330217000002	60747.991753999995	48465.10538399999	90521.897443	6326.142036999996	493.6790159999982	10529.416661999992	203347.49569800004	50885.62207600009	343625.19021600025	3611.733172999999	1163.151135000001	5513.3155609999985	321358.387872	134741.06862599996	537108.2064489999	153105.70245500002	16790.88147600004	226830.70523099997	43422.51371600002	4.941506000002846	57468.404321999995	38061.825906000005	885.5925490000009	54125.958309	135462.27074500007	0.0	485518.23533099995	2162862.075723999	56335.34530200111	3197176.0527500007	40367.28594600002	16710.712022000007	62821.763021000006	15291.548568999995	5330.181965999989	25313.641226000007	140179.70257300008	20340.185652999993	249485.00373899992	106814.49932399997	2841.349422999978	157020.39594600006	218443.5369250001	117651.0026430001	338208.67786600004	1423519.8846040005	4.6566128730773926E-10	1841074.8699909986
33	171284.19374700013	5.820766091346741E-11	326818.2302579998	124306.44343200006	29380.845717000106	212266.79213900006	243623.12866000005	102531.8675	371397.632186	17548.382435999993	73.00052499999947	23898.362875000003	187490.6128180001	0.0	294453.447153	277659.13765999995	14.589855999976862	518169.64165000006	1434967.9350830002	0.0	2086189.1641129996	3952.507701999997	340.0944849999978	4868.039617999996	110841.17170400005	50024.00580100001	164829.45118300003	791780.526604	88680.89592500054	1602979.1313	90687.40249799994	34135.54683099991	159117.51981000009	277455.927134	23132.06825300015	386533.8063129999	6485.550726000002	1361.1891570000007	11484.274585000001	71284.39490099999	7448.57220400004	104298.30734999999	456852.1267589999	18368.43571800005	691459.8872880001	378231.03959800006	27249.401495	701475.3540340003	29683.35194500001	4291.210420999996	42560.67722000001	76831.32774799998	29530.961143000008	114320.018275	127604.20940100006	2025.0615340000077	218789.19022400002	269358.432754	16807.232223000145	338087.95016400004	125134.40153200008	69314.0261720001	217243.022807	396762.6500710001	12423.369319000281	596636.674168	589567.8385990001	0.0	895486.519116	434975.5396710002	52780.55457600014	612792.9435330003	12182.674578999993	2426.1392769999948	20509.330217	60747.991754	48457.866743	90521.89744299995	6326.142036999996	493.6790159999964	10529.416661999998	203347.495698	50885.62207600003	343625.1902160001	3611.733172999999	822.3257939999994	5513.315560999999	321358.387872	134741.0686259999	537108.2064489998	153105.70245499996	15395.336264000041	226830.70523099994	43422.51371600004	4.94150600003195	57468.40432200002	38061.82590600001	345.80437699997856	54125.958308999994	135462.27074500005	5.820766091346741E-11	485518.23533099995	2162862.0757239996	56335.34530200064	3197176.0527500007	40367.28594600002	16710.712022	62821.763021000006	15291.548568999993	5330.181965999989	25313.641226000007	140179.70257300002	19499.336830999993	249485.0037389999	106814.49932400002	2841.3494229999487	157020.39594600006	220759.68373600018	111319.1625010001	338208.6778659999	1423771.0681400003	4.6566128730773926E-10	1841074.8699909986
32	171284.19374700013	0.0	326818.2302579999	124306.44343200007	22558.912949000136	212266.7921389999	243623.1286600001	102531.8675	371397.63218600006	17548.382435999996	73.00052499999583	23898.362875000003	187490.61281800002	0.0	294453.44715300004	289542.0341800001	14.589855999976862	518169.64164999983	1434967.935083	0.0	2086189.1641129993	3960.9729069999976	339.58533200000056	4868.039617999996	110841.17170400004	50024.00580099999	164829.45118300008	791780.5266040002	88680.89592500054	1602979.131300001	90687.40249799994	34135.54683099991	159117.51981000006	277455.927134	23132.068253000034	386533.80631300004	6656.398438000001	1196.3637949999975	11484.274585	71284.394901	7448.5722040000255	104298.30735	456852.1267589999	18368.43571800005	691459.8872880002	378231.03959800024	27249.401495	701475.354034	29683.351945000002	4291.210420999996	42560.677220000005	76831.32774800001	24211.22256100003	114320.01827499998	127604.20940100004	2025.0615339999786	218789.19022400002	269358.432754	16807.232223000028	338087.950164	125134.40153200003	69314.02617200007	217243.02280700003	396762.65007100004	12423.369319000165	596636.6741679998	589567.8385990001	1.1641532182693481E-10	895486.519116	434975.53967100015	47417.859168999945	612792.9435330003	12182.674578999999	2426.1392769999875	20509.330216999995	60747.991754	48114.61674900002	90521.89744299992	6326.142036999996	396.27981299999556	10529.416661999998	203347.495698	50885.62207600003	343625.1902160002	3614.2519629999983	821.609653999998	5513.315561	321358.38787200005	117600.29818899988	537108.206449	153105.70245500005	15222.06932800007	226830.7052309999	43422.51371600004	4.941506000002846	57468.40432200001	38061.825906000005	345.8043769999713	54125.958308999994	135462.27074500007	0.0	485518.2353309998	2162862.0757239996	56335.34530200064	3197176.0527499993	40367.28594599999	16710.712022000014	62821.763021	15291.548568999995	5330.1819659999965	25313.641225999992	140179.70257300005	19499.336831000022	249485.0037390001	109752.99147400002	2841.349422999978	157020.39594600003	220759.68373600012	111204.3219650001	338208.6778659999	1423771.0681400006	0.0	1841074.8699909993
31	171284.19374700013	0.0	326818.2302579998	124306.44343200006	22558.912949000078	212266.7921389999	243623.12866000005	99324.50493700002	371397.63218600006	17548.382435999996	73.00052499999583	23898.362875	187490.6128180001	0.0	294453.447153	289542.03417999996	14.589855999976862	518169.6416499998	1434967.935083	2.3283064365386963E-10	2086189.1641129996	3960.9729069999985	339.5853270000007	4868.039617999996	110841.17170400004	46180.0607	164829.45118300008	791780.5266040001	88680.89592500054	1602979.1313000007	90687.40249799992	34129.352720999916	159117.51981000003	277455.927134	23132.068252999918	386533.80631300004	6656.398438000001	1196.3637949999975	11484.274585000001	71284.394901	7448.57220400004	104298.30735000002	456852.1267589999	18368.435717999935	691459.8872880002	378231.0395980001	27249.401495	701475.3540340001	29683.351945000002	4291.210420999996	42560.67722000001	76831.32774800001	24211.222561000017	114320.018275	127604.20940100006	2025.0615339999786	218789.190224	269358.43275400007	16807.232223000086	338087.950164	125134.40153200006	69314.02617200009	217243.02280700003	396762.650071	12423.369319000165	596636.6741679998	589567.8385990002	1.1641532182693481E-10	895486.519116	434975.5396710001	47417.85916899989	612792.9435330004	12182.674578999999	2426.1392769999948	20509.330216999995	60963.99795100001	48114.616749000015	90521.89744299995	6326.142036999998	396.2798129999992	10529.416661999998	203413.58788000006	50885.62207600009	343625.19021600013	3614.251962999999	663.5013549999994	5513.315561000001	324575.28275000013	117600.29818900005	537108.206449	153105.70245500005	15222.069327999983	226830.70523099994	43422.51371600002	0.0	57468.40432200001	38855.565931	345.80437699997856	54125.958309	135462.27074500002	0.0	485518.2353309998	2162862.075724	56335.345302000176	3197176.0527499993	40367.285946	16710.712022000007	62821.763021000006	15291.548569	5135.400903999998	25313.641225999996	142160.63336700003	19499.336831000022	249485.0037390001	109752.99147400002	2841.349423000007	157020.39594600006	220759.68373600012	107782.2681830001	338208.6778659998	1423771.0681400008	4.6566128730773926E-10	1841074.8699909993
30	171284.1937470001	5.820766091346741E-11	326818.23025799985	124306.44343200006	22558.91294900005	212266.7921389999	243623.12866000005	99324.50493700005	371397.632186	17548.382436000007	73.00052499999583	23898.362875000003	187490.61281800005	1.1641532182693481E-10	294453.44715300004	289542.03417999996	14.58985599980224	518169.64165000006	1434967.9350829998	0.0	2086189.1641129998	3960.972906999998	339.5853240000015	4868.039617999997	110841.17170400002	44918.747984	164829.4511830001	791780.526604	88680.89592500031	1602979.1313	90687.40249799992	34129.35272099993	159117.51981000006	277455.927134	7418.838628999889	386533.8063129999	6656.398438000001	1196.3637949999993	11484.274585000003	71284.394901	5392.666096000015	104298.30734999999	456852.126759	17668.6335900001	691459.8872880001	378231.0395980002	27249.401494999765	701475.3540339998	29683.351945000006	4291.210421000011	42560.677220000005	76831.32774799998	24211.222560999988	114320.01827499995	127604.20940100004	0.0	218789.19022399987	269358.432754	16807.232223000028	338087.950164	125134.40153200005	69314.02617200011	217243.02280699997	396762.650071	12423.369319000049	596636.6741679996	589567.838599	0.0	895486.5191159999	434975.539671	47417.859169	612792.9435330004	12182.674578999995	2341.8885749999936	20509.330216999995	60963.99795100002	48114.616749000015	90521.89744299994	6326.142036999998	283.29388299999846	10529.416661999998	203413.5878800001	50885.62207600003	343625.19021600013	3614.251962999999	652.8561469999995	5513.315561000001	324575.28275000013	114408.94488600007	537108.206449	153105.70245500002	15222.069328000012	226830.705231	43422.51371600002	2.9103830456733704E-11	57468.40432200001	38855.565931	345.80437700000766	54125.958308999994	135462.27074500005	0.0	485518.235331	2201928.8643710003	56335.34530200064	3197176.0527499993	40367.285945999996	16710.712022000007	62821.763021000006	15291.548569000002	5135.400903999998	25313.641225999996	142160.6333670001	19499.336831000022	249485.00373900007	109752.99147400007	2841.349423000007	157020.39594600003	224456.1975960001	105628.38975900016	338208.6778659998	1423771.06814	9.313225746154785E-10	1841074.8699909996
29	173732.09581600007	5.820766091346741E-11	326818.23025799997	124306.44343200004	22558.91294900005	212266.79213899988	243623.12866000007	99324.50493699999	371397.632186	17548.382436000007	73.00052500000311	23898.362875000006	187490.612818	0.0	294453.44715300004	289542.03417999996	14.589855999918655	518169.6416499999	1434967.9350830002	0.0	2086189.164113	3993.3495599999983	339.585321999999	4868.039617999996	110841.17170400002	37428.00492499997	164829.45118300006	791780.5266040001	88680.89592500031	1602979.1313000002	90687.40249799992	33039.484986999945	159117.51981000006	277455.927134	7418.838628999947	386533.8063129999	6656.398438000002	1042.522472999999	11484.274585000001	71284.39490100002	5392.6660960000445	104298.30734999997	456852.12675900006	17668.63358999975	691459.8872880001	378231.03959800006	18928.1261140001	701475.3540339997	29683.351945000002	4291.210421000025	42560.67722000001	76831.32774800001	22606.643902999975	114320.01827499994	127604.20940100004	0.0	218789.19022399993	269358.43275400007	16807.232223000145	338087.950164	126296.39916800003	69314.0261720001	217243.022807	396762.6500709999	12423.369319000049	596636.6741679996	589567.8385990001	0.0	895486.5191159997	434975.5396709999	44042.94068599987	612792.9435330002	12182.674578999999	2341.888574999997	20509.330216999995	60963.997951000005	48081.38907100001	90521.89744299997	6326.142036999997	283.29388299999846	10529.416661999998	203413.5878800001	50885.62207599997	343625.19021600013	3614.2519629999983	652.8561469999995	5513.315561000001	324575.28274999995	114408.94488600007	537108.206449	153105.70245500005	15094.585076999996	226830.70523099997	43422.51371600002	0.0	57468.404322	38855.56593099998	345.8043770000222	54125.958308999994	135462.27074500005	5.820766091346741E-11	485518.23533100006	2201928.8643710003	56335.345302000176	3197176.052749999	40367.285945999996	16710.712022000007	62821.763021000006	15291.548569000002	4930.1809580000045	25313.641226	142160.63336700003	19499.336831000022	249485.00373900004	109775.56951699998	2841.349423000007	157020.39594599998	224456.19759600007	105628.38975900001	338208.67786599987	1450559.2422170003	4.6566128730773926E-10	1841074.8699909998
28	173732.0958160001	5.820766091346741E-11	326818.23025799997	124306.44343200007	22276.337305000052	212266.79213899994	243623.1286600001	85094.44779300014	371397.6321860001	17891.655604	73.00052499999947	23898.362875000006	187490.612818	1.1641532182693481E-10	294453.447153	289542.0341799999	14.589855999860447	518169.64164999995	1434967.9350830002	0.0	2086189.164113	3993.3495599999987	339.5853219999972	4868.039617999996	110841.171704	37428.00492499999	164829.45118300006	791780.5266040004	88680.89592500031	1602979.1312999998	90687.40249799994	32255.28587599995	159117.51981000006	277455.92713400006	7418.838628999947	386533.8063129999	6656.398438	933.0628360000028	11484.274585000001	71284.39490100002	5392.6660960000445	104298.30734999996	456852.1267590001	17668.633589999983	691459.8872880001	378231.039598	6420.429109999794	701475.3540339997	29683.351995000008	4291.210421000025	42560.67722000001	76831.327748	22519.743025999982	114320.01827499995	127604.20940100001	0.0	218789.1902239999	269358.4327540001	16807.232223000086	338087.95016400004	128885.20706500007	56978.188879000096	217243.02280700003	401993.7552630001	12423.369319000165	596636.6741679996	589567.838599	0.0	895486.5191159997	434975.5396709999	43687.6923210001	612792.9435330003	12182.674578999995	2341.888574999997	20509.330216999995	60963.997951	48081.389068000004	90521.89744299995	6326.142036999997	247.21749999999702	10529.416661999996	203413.58788000004	50885.62207600003	343625.19021600013	3614.2519629999974	426.0192289999977	5513.315561000001	324575.28275000013	110061.41970399983	537108.206449	154875.29656700007	15094.585077000054	226830.705231	43901.04068600002	1.4551915228366852E-11	57468.404321999995	38855.56593099999	345.8043769999931	54125.958309	135462.270745	5.820766091346741E-11	485518.2353309998	2330319.9804900005	56335.34530200064	3197176.0527499993	40556.833173000006	16710.712022	62821.763021000006	15291.548569	4930.180958000001	25313.641225999996	142160.63336700003	18572.244780999987	249485.003739	109775.56951700001	2841.349423000065	157020.39594599998	224880.75632500005	105628.38975900007	338208.67786599987	1450559.2422170003	4.6566128730773926E-10	1841074.869991
27	173732.09581600004	5.820766091346741E-11	326818.23025799997	124306.44343200004	17121.73509900004	212266.79213899994	243623.12866000013	85094.44779300014	371397.6321860002	17891.655604	73.00052499999947	23898.362875000006	187490.61281800002	0.0	294453.447153	289542.0341799999	14.589855999860447	518169.64165	1434967.9350829995	0.0	2086189.1641129998	3993.349559999998	339.585321999999	4868.039617999996	110841.171704	37428.00492499997	164829.45118300006	791780.5266040004	49934.84873300046	1602979.1312999998	90687.40249799995	31816.651468999946	159117.51981000006	277455.927134	7418.838628999889	386533.806313	6656.398438000001	895.5116559999988	11484.274585000001	71284.394901	3071.728616000022	104298.30734999999	456852.126759	17492.599586000084	691459.8872880002	378231.039598	6420.429109999794	701475.3540339997	30897.33533900001	4291.21042100004	42560.67722000001	76831.327748	20388.49194999998	114320.01827499995	129152.06989099999	0.0	218789.19022399996	269358.4327540001	16807.232223000086	338087.950164	128885.20706500005	56978.18887900005	217243.02280700003	410538.93694600003	12423.369319000049	596636.6741679998	589567.8385990001	0.0	895486.5191159998	434975.53967099986	43687.69232100004	612792.9435330002	12367.565758999997	2341.888574999997	20509.330216999995	60963.99795100001	48081.389068000004	90521.89744299995	6326.142036999997	247.21749199999795	10529.416661999996	203931.348815	36217.580166	343625.1902160001	3614.251962999998	397.28166299999793	5513.315561000001	324575.28274999995	100379.16497300006	537108.2064490002	154875.29656700004	15094.585077000025	226830.705231	43901.040686000015	1.4551915228366852E-11	57468.404321999995	38855.565931	345.80437700000766	54125.958309	135462.27074500002	0.0	485518.2353309998	2330319.98049	56335.345302000176	3197176.05275	40556.83317300001	15384.280584000022	62821.763021000006	15291.548569000004	4930.1809580000045	25313.641225999992	142160.63336700003	18572.244780999987	249485.00373899998	109775.56951700004	2841.3494229999487	157020.39594599992	224880.75632500008	97216.16367800016	338208.67786599987	1450559.2422170008	4.6566128730773926E-10	1841074.869991
26	173732.09581600004	1.1641532182693481E-10	326818.230258	124306.44343200004	17121.73509900004	212266.79213899997	243623.12866000007	84974.2805910001	371397.6321860002	17891.655604	47.42299799999455	23898.362875000006	187490.61281800005	5.820766091346741E-11	294453.447153	289542.03418	14.589855999976862	518169.64165000006	1434967.935083	2.3283064365386963E-10	2086189.1641130005	4057.8320909999998	339.5853210000005	4868.039617999997	110841.17170400001	37428.004925	164829.45118300006	791780.5266040001	49934.84873300046	1602979.1313000002	90687.40249799995	31816.65146899999	159117.51981000006	277455.927134	7418.838629000005	386533.80631300004	6707.00351	895.5116560000006	11484.274585000001	71284.39490100002	3071.7286160000076	104298.30734999997	456852.126759	17492.599585999968	691459.8872880002	390396.00264499994	4984.0425219998	701475.3540339998	30897.33533900001	4291.210421000011	42560.677220000005	76831.32774800004	20041.23272700004	114320.01827499997	129152.06989099999	0.0	218789.190224	269358.4327540002	16807.232223000086	338087.950164	128885.20706500001	56978.188878999994	217243.02280699997	410538.9369460001	12423.369319000049	596636.6741680001	589567.8385990002	0.0	895486.519116	434975.5396709999	43687.692321000155	612792.9435330001	12367.565758999994	2341.888574999997	20509.330217	60963.99795100001	48081.389068000004	90521.89744299994	6326.142036999996	247.21749199999795	10529.416661999996	203931.348815	36217.58016600006	343625.190216	3614.2519629999974	397.28166299999793	5513.315561	324575.2827499999	100379.16497299995	537108.2064490002	154875.29656700004	15094.585077000025	226830.705231	45464.17385700001	0.0	57468.404321999995	38855.565931000005	345.8043770000004	54125.958309	135462.27074500002	0.0	485518.2353309998	2330319.9804900005	32857.809508999344	3197176.0527499993	40556.83317300001	15384.280584000015	62821.76302100001	15291.548569000002	4843.866711000002	25313.64122599999	142160.63336700006	18572.244780999987	249485.00373899998	113215.02262100004	2841.3494229999196	157020.39594599995	224880.75632500005	97216.16367800007	338208.677866	1450559.2422170003	0.0	1841074.869991
