Run 0 completed after 114967ms
Run 1 completed after 222738ms
Run 2 completed after 348595ms
Run 3 completed after 464336ms
Run 4 completed after 579990ms
Run 5 completed after 690648ms
Run 6 completed after 814033ms
Run 7 completed after 923516ms
Run 8 completed after 1039232ms
Run 9 completed after 1164424ms
Resolution	Import Reuse
1	0.17121697180580203
2	0.1742118754373022
3	0.17641777618082502
4	0.17996377281001422
5	0.1822865444494872
6	0.18508789950860435
7	0.18756217964607144
8	0.189941880491686
9	0.1921336697786462
10	0.19410959386118778
11	0.19750474379780864
12	0.20023271548644636
13	0.20178599954681342
14	0.20367668433163197
15	0.20636015028110316
16	0.20864386845836866
17	0.21129039301509323
18	0.21331812710802223
19	0.21546507120892439
20	0.21720074957725555
21	0.21966834035792776
22	0.22191779771813638
23	0.22427477932108758
24	0.22639704514760048
25	0.22852857974101753
26	0.23005838649806382
27	0.23175167361869276
28	0.23378272577545417
29	0.23583258599250898
30	0.23700689097483787
31	0.23911951185116806
32	0.24029855381886164
33	0.2418225764418749
34	0.24351950510028092
35	0.24453212157683624
